Group,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,G1,G2,G3,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a,15a,16a,17a,18a,19a,20a,21a_Browser,21a_Version,21a_Operating System,21a_Resolution,22a_First Click,22a_Last Click,22a_Page Submit,22a_Click Count,mTurkCode,Final_Score
1,7/9/2017 19:26,7/9/2017 19:36,IP Address,64.15.188.162,100,642,TRUE,7/9/2017 19:36,R_D2HI3oS2DwiM3ER,,38.6499939,-90.53340149,anonymous,EN,Male,Associate degree in college (2-year),38-47,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,D) Written by what some believe as one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,C) $1100,D) Each statement alone is sufficient to answer the question.,C) more tech-savvy than those at any other time in,"C) Mitchell, Simon, Jackson, Prince, Nicks, Lennon, Wonder, King",C) Most mental disorders are not the result of chemical imbalances affecting the brain.,"E) Population densities have increased, with the result that one home fire can cause more deaths than in previous decades","C) Many aspects of medical practice are based on probabilities, and Roger went with the greatest probability.",A) invincible : control,D) Relationship cannot be determined from the information given.,D) 217.75,D) vary,A) Regionalist party members have organized to oppose industrial interests on several other issues.,"A) colder and wetter than was usual in some regions, which slowed",A) bringing,"B) Having been a United States citizen since 1988, she was born in Calcutta in 1940; author Bharati Mukherjee",B) 20,A) Monday,Chrome,59.0.3071.115,Windows NT 10.0,1440x900,27.367,149.527,150.383,6,864449,8
1,7/9/2017 19:24,7/9/2017 19:38,IP Address,104.235.218.150,100,877,TRUE,7/9/2017 19:38,R_qLuUGZwb8BOYQ5H,,36.24510193,-83.52619934,anonymous,EN,Female,Some college but no degree,18-27,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,A) Believed to be one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,A) $900,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,B) more tech-savvy than they were at any time in their,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",D) Medication is always more effective in treating patients with mental disorders than is psychotherapy.,"A) Compared to other types of home fires, home fires caused by smoking in bed usually cause relatively little damage before they are extinguished.","C) Many aspects of medical practice are based on probabilities, and Roger went with the greatest probability.",A) invincible : control,B) Quantity in Column B is greater.,D) 217.75,D) vary,E) Ellen has attended programs and distributed literature prepared by the Regionalist party.,"A) colder and wetter than was usual in some regions, which slowed",A) bringing,"D) Being born in Calcutta in 1940 and having been a United States citizen since 1988, author Bharati Mukherjee",B) 20,A) Monday,Firefox,54,Windows NT 10.0,1173x660,16.634,192.17,193.786,6,8377,8
1,7/9/2017 19:22,7/9/2017 19:39,IP Address,68.60.99.139,100,973,TRUE,7/9/2017 19:39,R_rf3pLJQs6PRx2IV,,42.76269531,-84.44270325,anonymous,EN,Male,Bachelor's degree in college (4-year),18-27,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,A) Believed to be one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,B) $1000,D) Each statement alone is sufficient to answer the question.,A) more tech-savvy now than at any time in their,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",A) Treatment by psychotherapy can produce no effective reduction in or correction of chemical imbalances that cause mental disorders.,C) Smokers who smoke in bed tend to be heavy smokers who are less likely to quit smoking than are smokers who do not smoke in bed.,"D) Even with the most modern methods and facilities, medicine is still more of an art than a science, and one can‰Ûªt really predict the outcome with any high degree of reliability.",B) independent : conquest,B) Quantity in Column B is greater.,D) 217.75,D) vary,D)  It is possible that some Regionalist party members may not oppose the bill for a new recycling law.,"B) which was colder and wetter than usual in some regions, slowing",E) and brought,"E) Having been born in Calcutta in 1940 and being a United States citizen since 1988, author Bharati Mukherjee",B) 20,A) Monday,Chrome,59.0.3071.115,Windows NT 10.0,1366x768,41.98,145.953,147.212,5,622667,10
1,7/9/2017 19:23,7/9/2017 19:42,IP Address,47.150.183.33,100,1149,TRUE,7/9/2017 19:42,R_31ZcgiLBXJ2vKKe,,34.53610229,-117.2911987,anonymous,EN,Female,Some college but no degree,> 47,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,A) Believed to be one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,B) $1000,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,E) more tech-savvy now than it was at any time in,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",A) Treatment by psychotherapy can produce no effective reduction in or correction of chemical imbalances that cause mental disorders.,"E) Population densities have increased, with the result that one home fire can cause more deaths than in previous decades","C) Many aspects of medical practice are based on probabilities, and Roger went with the greatest probability.",E)  intractable : destruction,D) Relationship cannot be determined from the information given.,D) 217.75,D) vary,B) Industrial interests need not oppose the protection of the environment.,"A) colder and wetter than was usual in some regions, which slowed",C) and it brings,"A) Being a United States citizen since 1988 and born in Calcutta in 1940, author Bharati Mukherjee has",A) 16,A) Monday,Chrome,59.0.3071.115,Windows NT 6.1,1024x820,4.863,141.095,142.031,11,850840,9
1,7/9/2017 19:30,7/9/2017 19:46,IP Address,73.102.68.232,100,1016,TRUE,7/9/2017 19:46,R_3seAYnp1soL868p,,40.04829407,-85.6855011,anonymous,EN,Male,Bachelor's degree in college (4-year),38-47,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,D) Written by what some believe as one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,E) $1300,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,B) more tech-savvy than they were at any time in their,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",A) Treatment by psychotherapy can produce no effective reduction in or correction of chemical imbalances that cause mental disorders.,B) Home fires caused by smoking in bed often break out after the home‰Ûªs occupants have fallen asleep.,"C) Many aspects of medical practice are based on probabilities, and Roger went with the greatest probability.",A) invincible : control,D) Relationship cannot be determined from the information given.,D) 217.75,D) vary,A) Regionalist party members have organized to oppose industrial interests on several other issues.,E) having been colder and wetter than was usual in some regions and slowed,A) bringing,"C) Born in Calcutta in 1940, author Bharati Mukherjee became a United States citizen in 1988; she has",B) 20,A) Monday,Firefox,54,Windows NT 10.0,1600x900,26.264,173.826,175.804,5,945155,12
1,7/9/2017 19:23,7/9/2017 19:47,IP Address,68.42.175.49,100,1453,TRUE,7/9/2017 19:47,R_ymUhY9l2X9ThimJ,,42.98750305,-82.46659851,anonymous,EN,Male,High school graduate (high school diploma or equivalent including GED),18-27,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,A) Believed to be one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,C) $1100,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,A) more tech-savvy now than at any time in their,"A) Jackson, Simon, King, Mitchell, Prince, Nicks, Lennon, Wonder",A) Treatment by psychotherapy can produce no effective reduction in or correction of chemical imbalances that cause mental disorders.,"A) Compared to other types of home fires, home fires caused by smoking in bed usually cause relatively little damage before they are extinguished.",B) Roger got opinions from two of the foremost cancer specialists in the country.,E)  intractable : destruction,B) Quantity in Column B is greater.,D) 217.75,D) vary,D)  It is possible that some Regionalist party members may not oppose the bill for a new recycling law.,"A) colder and wetter than was usual in some regions, which slowed",A) bringing,"C) Born in Calcutta in 1940, author Bharati Mukherjee became a United States citizen in 1988; she has",D) 45,A) Monday,Chrome,59.0.3071.115,Windows NT 10.0,1366x768,15.769,110.579,113.914,7,84919,9
1,7/9/2017 19:26,7/9/2017 19:49,IP Address,184.182.18.170,100,1379,TRUE,7/9/2017 19:49,R_3nToeKh7m20fkwo,,33.37759399,-112.3873978,anonymous,EN,Female,High school graduate (high school diploma or equivalent including GED),28-37,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,D) Written by what some believe as one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,A) $900,C) Both statements 1 and 2 together are sufficient to answer the question but neither statement is sufficient alone.,A) more tech-savvy now than at any time in their,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",A) Treatment by psychotherapy can produce no effective reduction in or correction of chemical imbalances that cause mental disorders.,"A) Compared to other types of home fires, home fires caused by smoking in bed usually cause relatively little damage before they are extinguished.",A) Roger feels better now than he would have felt without the surgery.,E)  intractable : destruction,D) Relationship cannot be determined from the information given.,A) 77,C) decline,C) Past attempts to protect the environment through recycling laws have failed.,"C) since it was colder and wetter than usually in some regions, which slowed",A) bringing,"C) Born in Calcutta in 1940, author Bharati Mukherjee became a United States citizen in 1988; she has",A) 16,A) Monday,Chrome,59.0.3071.115,Windows NT 6.3,1600x900,59.024,203.967,205.244,5,142957,9
1,7/9/2017 19:22,7/9/2017 19:49,IP Address,174.17.245.60,100,1629,TRUE,7/9/2017 19:49,R_3mdY4r0XyFzaosB,,33.6118927,-111.8906021,anonymous,EN,Male,Bachelor's degree in college (4-year),28-37,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,"C) One of the first widely read female authors of the Western world, as some believe",C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,B) $1000,E) Statements 1 and 2 are not sufficient to answer the question asked and additional data is needed to answer the statements.,B) more tech-savvy than they were at any time in their,"B) Jackson, Simon, Prince, Nicks, Mitchell, Wonder, Lennon, King",C) Most mental disorders are not the result of chemical imbalances affecting the brain.,C) Smokers who smoke in bed tend to be heavy smokers who are less likely to quit smoking than are smokers who do not smoke in bed.,B) Roger got opinions from two of the foremost cancer specialists in the country.,D) immutable : alteration,C) Two columns are equal.,D) 217.75,D) vary,D)  It is possible that some Regionalist party members may not oppose the bill for a new recycling law.,"C) since it was colder and wetter than usually in some regions, which slowed",A) bringing,"C) Born in Calcutta in 1940, author Bharati Mukherjee became a United States citizen in 1988; she has",B) 20,A) Monday,Chrome,59.0.3071.115,Windows NT 6.1,1360x768,1.751,102.561,104.59,9,662390,10
1,7/9/2017 19:24,7/9/2017 19:50,IP Address,110.54.202.63,100,1547,TRUE,7/9/2017 19:50,R_30elnz4Fc9PlBlg,,14.31190491,121.0544128,anonymous,EN,Male,Some college but no degree,38-47,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,A) Believed to be one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,E) $1300,B) Statement 2 alone is sufficient but statement 1 alone is not sufficient to answer the question asked.,E) more tech-savvy now than it was at any time in,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",A) Treatment by psychotherapy can produce no effective reduction in or correction of chemical imbalances that cause mental disorders.,"A) Compared to other types of home fires, home fires caused by smoking in bed usually cause relatively little damage before they are extinguished.",B) Roger got opinions from two of the foremost cancer specialists in the country.,B) independent : conquest,A) Quantity in Column A is greater.,D) 217.75,D) vary,D)  It is possible that some Regionalist party members may not oppose the bill for a new recycling law.,"D)  being colder and wetter than usually in some regions, slowing",A) bringing,"C) Born in Calcutta in 1940, author Bharati Mukherjee became a United States citizen in 1988; she has",C) 36,A) Monday,Firefox,53,Android 4.4.2,600x976,21.687,121.504,122.328,36,453168,9
1,7/10/2017 9:29,7/10/2017 9:45,IP Address,190.45.169.96,100,922,TRUE,7/10/2017 9:45,R_XzZKs2UlLFPMCkh,,-33.4624939,-70.66819763,anonymous,EN,Female,Bachelor's degree in college (4-year),18-27,D) Being given an exercise routine and having a consultation with a doctor about the routine is the best way to help a stroke survivor regain dexterity in their extremities.,B) Written by one of the first widely read female authors of the Western world,C) People going to the Jersey Shore used suntan lotion with increasing levels of UV protection and monitored UV levels to help determine what times during the day were most suitable for being in the sun.,B) $1000,E) Statements 1 and 2 are not sufficient to answer the question asked and additional data is needed to answer the statements.,B) more tech-savvy than they were at any time in their,"D) Mitchell, Jackson, Simon, Nicks, King, Wonder, Lennon, Prince",C) Most mental disorders are not the result of chemical imbalances affecting the brain.,"E) Population densities have increased, with the result that one home fire can cause more deaths than in previous decades","C) Many aspects of medical practice are based on probabilities, and Roger went with the greatest probability.",D) immutable : alteration,A) Quantity in Column A is greater.,D) 217.75,D) vary,A) Regionalist party members have organized to oppose industrial interests on several other issues.,"A) colder and wetter than was usual in some regions, which slowed",A) bringing,"C) Born in Calcutta in 1940, author Bharati Mukherjee became a United States citizen in 1988; she has",D) 45,B) Tuesday,Chrome,59.0.3071.115,Windows NT 10.0,1536x864,51.319,213.07,214.03,5,780981,9
